gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Ank3,G5E8K5,ANK3_MOUSE,reviewed,Ankyrin-3 (ANK-3) (Ankyrin-G),Ank3,Mus musculus (Mouse),1961
Ankfy1,Q810B6,ANFY1_MOUSE,reviewed,Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif),Ankfy1 Ankhzn Kiaa1255,Mus musculus (Mouse),1169
Ankrd11,E9Q4F7,ANR11_MOUSE,reviewed,Ankyrin repeat domain-containing protein 11,Ankrd11,Mus musculus (Mouse),2643
Ankrd17,Q99NH0,ANR17_MOUSE,reviewed,Ankyrin repeat domain-containing protein 17 (Ankyrin repeat domain-containing protein FOE) (Gene trap ankyrin repeat protein),Ankrd17 Foe Gtar Kiaa0697,Mus musculus (Mouse),2603
Ankrd27,Q3UMR0,ANR27_MOUSE,reviewed,Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein) (VPS9-ankyrin-repeat protein),Ankrd27 Varp,Mus musculus (Mouse),1048
Ankrd28,Q505D1,ANR28_MOUSE,reviewed,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK),Ankrd28,Mus musculus (Mouse),1053
Ankrd37,Q569N2,ANR37_MOUSE,reviewed,Ankyrin repeat domain-containing protein 37,Ankrd37,Mus musculus (Mouse),159
Ankrd44,B2RXR6,ANR44_MOUSE,reviewed,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B (PP6-ARS-B) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-B) (Ankyrin repeat domain-containing protein 44),Ankrd44,Mus musculus (Mouse),993
Ankrd52,Q8BTI7,ANR52_MOUSE,reviewed,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C (PP6-ARS-C) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-C),Ankrd52,Mus musculus (Mouse),1076
Ankrd9,Q8BH83,ANKR9_MOUSE,reviewed,Ankyrin repeat domain-containing protein 9,Ankrd9,Mus musculus (Mouse),326
Anks3,Q9CZK6,ANKS3_MOUSE,reviewed,Ankyrin repeat and SAM domain-containing protein 3,Anks3 Kiaa1977,Mus musculus (Mouse),655
Ano1,Q8BHY3,ANO1_MOUSE,reviewed,Anoctamin-1 (Transmembrane protein 16A),Ano1 Tmem16a,Mus musculus (Mouse),960
Ano7,Q14AT5,ANO7_MOUSE,reviewed,Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G),Ano7 Ngep Tmem16g,Mus musculus (Mouse),859
Anp32b,Q9EST5,AN32B_MOUSE,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member B (Proliferation-related acidic leucine-rich protein PAL31),Anp32b Pal31,Mus musculus (Mouse),272
Anp32e,P97822,AN32E_MOUSE,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member E (Cerebellar postnatal development protein 1) (LANP-like protein) (LANP-L),Anp32e Cpd1,Mus musculus (Mouse),260
Antxr2,Q6DFX2,ANTR2_MOUSE,reviewed,Anthrax toxin receptor 2,Antxr2,Mus musculus (Mouse),487
Anxa1,P10107,ANXA1_MOUSE,reviewed,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35),Anxa1 Anx1 Lpc-1 Lpc1,Mus musculus (Mouse),346
Anxa11,P97384,ANX11_MOUSE,reviewed,Annexin A11 (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50),Anxa11 Anx11,Mus musculus (Mouse),503
Anxa3,O35639,ANXA3_MOUSE,reviewed,Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III),Anxa3 Anx3,Mus musculus (Mouse),323
Anxa5,P48036,ANXA5_MOUSE,reviewed,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),Anxa5 Anx5,Mus musculus (Mouse),319
Aoc1,Q8JZQ5,AOC1_MOUSE,reviewed,Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase),Aoc1 Abp1,Mus musculus (Mouse),751
Ap1b1,O35643,AP1B1_MOUSE,reviewed,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),Ap1b1 Adtb1,Mus musculus (Mouse),943
Ap1g1,P22892,AP1G1_MOUSE,reviewed,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma-adaptin) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),Ap1g1 Adtg Clapg1,Mus musculus (Mouse),822
Ap1m2,Q9WVP1,AP1M2_MOUSE,reviewed,AP-1 complex subunit mu-2 (AP-mu chain family member mu1B) (Adaptor protein complex AP-1 subunit mu-2) (Adaptor-related protein complex 1 subunit mu-2) (Clathrin assembly protein complex 1 mu-2 medium chain 2) (Golgi adaptor HA1/AP1 adaptin mu-2 subunit) (Mu-adaptin 2) (Mu1B-adaptin),Ap1m2,Mus musculus (Mouse),423
Ap2b1,Q9DBG3,AP2B1_MOUSE,reviewed,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),Ap2b1 Clapb1,Mus musculus (Mouse),937
Ap2s1,P62743,AP2S1_MOUSE,reviewed,AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin),Ap2s1 Ap17 Claps2,Mus musculus (Mouse),142
Ap3m1,Q9JKC8,AP3M1_MOUSE,reviewed,AP-3 complex subunit mu-1 (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu-1) (Mu-adaptin 3A) (Mu3A-adaptin),Ap3m1,Mus musculus (Mouse),418
Ap5m1,Q8BJ63,AP5M1_MOUSE,reviewed,AP-5 complex subunit mu-1 (Adaptor-related protein complex 5 subunit mu-1) (Mu5) (Mu-2-related death-inducing protein) (MuD),Ap5m1 Mudeng,Mus musculus (Mouse),490
Apaf1,O88879,APAF_MOUSE,reviewed,Apoptotic protease-activating factor 1 (APAF-1),Apaf1,Mus musculus (Mouse),1249
Apbb2,Q9DBR4,APBB2_MOUSE,reviewed,Amyloid-beta A4 precursor protein-binding family B member 2,Apbb2,Mus musculus (Mouse),760
Aph1a,Q8BVF7,APH1A_MOUSE,reviewed,Gamma-secretase subunit APH-1A (APH-1a) (Aph-1alpha),Aph1a,Mus musculus (Mouse),265
Api5,O35841,API5_MOUSE,reviewed,Apoptosis inhibitor 5 (API-5) (AAC-11),Api5,Mus musculus (Mouse),504
Aplp2,Q06335,APLP2_MOUSE,reviewed,Amyloid-like protein 2 (APLP-2) (CDEI box-binding protein) (CDEBP),Aplp2,Mus musculus (Mouse),707
Apool,Q78IK4,MIC27_MOUSE,reviewed,MICOS complex subunit Mic27 (Apolipoprotein O-like) (Protein FAM121A),Apool Fam121a Mic27,Mus musculus (Mouse),265
App,P12023,A4_MOUSE,reviewed,Amyloid-beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloid-beta precursor protein) (Amyloidogenic glycoprotein) (AG) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (APP-C99) (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (APP-C59) (Amyloid intracellular domain 59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (APP-C57) (Amyloid intracellular domain 57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AID(50)) (Gamma-CTF(50)); C31],App,Mus musculus (Mouse),770
Appbp2,Q9DAX9,APBP2_MOUSE,reviewed,Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2),Appbp2 Kiaa0228,Mus musculus (Mouse),585
Appl1,Q8K3H0,DP13A_MOUSE,reviewed,"DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)",Appl1 Dip13a Kiaa1428,Mus musculus (Mouse),707
Appl2,Q8K3G9,DP13B_MOUSE,reviewed,"DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)",Appl2 Dip13b Dip3b,Mus musculus (Mouse),662
Aqp4,P55088,AQP4_MOUSE,reviewed,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),Aqp4,Mus musculus (Mouse),323
Aqp8,P56404,AQP8_MOUSE,reviewed,Aquaporin-8 (AQP-8),Aqp8,Mus musculus (Mouse),261
Arap1,Q4LDD4,ARAP1_MOUSE,reviewed,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2) (Cnt-d2)",Arap1 Centd2 Kiaa0782,Mus musculus (Mouse),1452
Arap2,Q8BZ05,ARAP2_MOUSE,reviewed,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2 (Centaurin-delta-1) (Cnt-d1)",Arap2 Centd1 Gm148 Kiaa0580,Mus musculus (Mouse),1703
Arel1,Q8CHG5,AREL1_MOUSE,reviewed,Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1),Arel1 Kiaa0317,Mus musculus (Mouse),823
Arf2,Q8BSL7,ARF2_MOUSE,reviewed,ADP-ribosylation factor 2,Arf2,Mus musculus (Mouse),181
Arf3,P61205,ARF3_MOUSE,reviewed,ADP-ribosylation factor 3,Arf3,Mus musculus (Mouse),181
Arf5,P84084,ARF5_MOUSE,reviewed,ADP-ribosylation factor 5,Arf5,Mus musculus (Mouse),180
Arf6,P62331,ARF6_MOUSE,reviewed,ADP-ribosylation factor 6,Arf6,Mus musculus (Mouse),175
Arfgef1,G3X9K3,BIG1_MOUSE,reviewed,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1) (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1),Arfgef1,Mus musculus (Mouse),1846
Arhgap1,Q5FWK3,RHG01_MOUSE,reviewed,Rho GTPase-activating protein 1 (Rho-type GTPase-activating protein 1),Arhgap1,Mus musculus (Mouse),439
Arhgap12,Q8C0D4,RHG12_MOUSE,reviewed,Rho GTPase-activating protein 12 (Rho-type GTPase-activating protein 12),Arhgap12,Mus musculus (Mouse),838
Arhgap21,Q6DFV3,RHG21_MOUSE,reviewed,Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21),Arhgap21 Arhgap10 Kiaa1424,Mus musculus (Mouse),1944
Arhgap32,Q811P8,RHG32_MOUSE,reviewed,Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP),Arhgap32 Grit Kiaa0712 Rics,Mus musculus (Mouse),2089
Arhgap35,Q91YM2,RHG35_MOUSE,reviewed,Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1),Arhgap35 Grlf1 Kiaa1722 P190A p190ARHOGAP,Mus musculus (Mouse),1499
Arhgap42,B2RQE8,RHG42_MOUSE,reviewed,Rho GTPase-activating protein 42 (Rho-type GTPase-activating protein 42),Arhgap42 Graf3,Mus musculus (Mouse),841
Arhgap5,P97393,RHG05_MOUSE,reviewed,Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B),Arhgap5 Rhogap5,Mus musculus (Mouse),1501
Arhgdia,Q99PT1,GDIR1_MOUSE,reviewed,Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (GDI-1) (Rho-GDI alpha),Arhgdia C87222 Gdi1,Mus musculus (Mouse),204
Arhgef10l,A2AWP8,ARGAL_MOUSE,reviewed,Rho guanine nucleotide exchange factor 10-like protein (GrinchGEF),Arhgef10l Kiaa1626,Mus musculus (Mouse),1280
Arhgef16,Q3U5C8,ARHGG_MOUSE,reviewed,Rho guanine nucleotide exchange factor 16 (Ephexin-4),Arhgef16,Mus musculus (Mouse),713
Arhgef17,Q80U35,ARHGH_MOUSE,reviewed,Rho guanine nucleotide exchange factor 17,Arhgef17 Kiaa0337,Mus musculus (Mouse),2057
Arhgef18,Q6P9R4,ARHGI_MOUSE,reviewed,Rho guanine nucleotide exchange factor 18,Arhgef18 Kiaa0521,Mus musculus (Mouse),1405
Arhgef2,Q60875,ARHG2_MOUSE,reviewed,Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (LBC'S first cousin) (Lymphoid blast crisis-like 1) (Oncogene LFC) (Rhobin),Arhgef2 Kiaa0651 Lbcl1 Lfc,Mus musculus (Mouse),985
Arhgef3,Q91X46,ARHG3_MOUSE,reviewed,Rho guanine nucleotide exchange factor 3,Arhgef3,Mus musculus (Mouse),524
Arhgef7,Q9ES28,ARHG7_MOUSE,reviewed,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (PAK-interacting exchange factor beta) (p85SPR),Arhgef7 Kiaa0142 Pak3bp,Mus musculus (Mouse),862
Arid1b,E9Q4N7,ARI1B_MOUSE,reviewed,AT-rich interactive domain-containing protein 1B (ARID domain-containing protein 1B) (BRG1-associated factor 250b) (BAF250B),Arid1b Baf250b,Mus musculus (Mouse),2244
Arid2,E9Q7E2,ARID2_MOUSE,reviewed,AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200),Arid2 Baf200,Mus musculus (Mouse),1828
Arid3b,Q9Z1N7,ARI3B_MOUSE,reviewed,AT-rich interactive domain-containing protein 3B (ARID domain-containing protein 3B) (Bright and dead ringer protein) (Bright-like protein),Arid3b Bdp Dril2,Mus musculus (Mouse),568
Arid4b,A2CG63,ARI4B_MOUSE,reviewed,AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Histone deacetylase complex subunit SAP180),Arid4b Sap180,Mus musculus (Mouse),1314
Arid5b,Q8BM75,ARI5B_MOUSE,reviewed,AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B) (Developmentally and sexually retarded with transient immune abnormalities protein) (Desrt) (MRF1-like) (Modulator recognition factor protein 2) (MRF-2),Arid5b Desrt Mrf2,Mus musculus (Mouse),1188
Arl1,P61211,ARL1_MOUSE,reviewed,ADP-ribosylation factor-like protein 1,Arl1,Mus musculus (Mouse),181
Arl10,Q9QXJ4,ARL10_MOUSE,reviewed,ADP-ribosylation factor-like protein 10 (ADP-ribosylation factor-like membrane-associated protein),Arl10 Arl10a Arm1,Mus musculus (Mouse),243
Arl14,Q3SXC5,ARL14_MOUSE,reviewed,ADP-ribosylation factor-like protein 14 (ADP-ribosylation factor 7),Arl14 Arf7,Mus musculus (Mouse),192
Arl15,Q8BGR6,ARL15_MOUSE,reviewed,ADP-ribosylation factor-like protein 15 (ADP-ribosylation factor-related protein 2) (ARF-related protein 2),Arl15 Arfrp2,Mus musculus (Mouse),204
Arl2,Q9D0J4,ARL2_MOUSE,reviewed,ADP-ribosylation factor-like protein 2,Arl2,Mus musculus (Mouse),184
Arl2bp,Q9D385,AR2BP_MOUSE,reviewed,ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (Binder of ARF2 protein 1),Arl2bp Bart Bart1,Mus musculus (Mouse),163
Arl5b,Q9D4P0,ARL5B_MOUSE,reviewed,ADP-ribosylation factor-like protein 5B (ADP-ribosylation factor-like protein 8),Arl5b Arl8,Mus musculus (Mouse),179
Arl6ip1,Q9JKW0,AR6P1_MOUSE,reviewed,ADP-ribosylation factor-like protein 6-interacting protein 1 (ARL-6-interacting protein 1) (Aip-1) (Protein TBX2),Arl6ip1 Arl6ip,Mus musculus (Mouse),203
Arl6ip5,Q8R5J9,PRAF3_MOUSE,reviewed,PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5) (Addicsin) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (Prenylated Rab acceptor protein 2) (Protein JWa),Arl6ip5 Aip5 Jwa Pra2 Praf3,Mus musculus (Mouse),188
Armc1,Q9D7A8,ARMC1_MOUSE,reviewed,Armadillo repeat-containing protein 1,Armc1,Mus musculus (Mouse),282
Armc10,Q9D0L7,ARM10_MOUSE,reviewed,Armadillo repeat-containing protein 10,Armc10,Mus musculus (Mouse),306
Arnt,P53762,ARNT_MOUSE,reviewed,"Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)",Arnt,Mus musculus (Mouse),791
Arpc1a,Q9R0Q6,ARC1A_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 1A (SOP2-like protein) (Sid 329),Arpc1a Sid329,Mus musculus (Mouse),370
Arpc1b,Q9WV32,ARC1B_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),Arpc1b,Mus musculus (Mouse),372
Arpc2,Q9CVB6,ARPC2_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),Arpc2,Mus musculus (Mouse),300
Arpc3,Q9JM76,ARPC3_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC),Arpc3,Mus musculus (Mouse),178
Arpc4,P59999,ARPC4_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC),Arpc4 Arc20,Mus musculus (Mouse),168
Arpp19,P56212,ARP19_MOUSE,reviewed,cAMP-regulated phosphoprotein 19 (ARPP-19),Arpp19,Mus musculus (Mouse),112
Arrb2,Q91YI4,ARRB2_MOUSE,reviewed,Beta-arrestin-2 (Arrestin beta-2),Arrb2,Mus musculus (Mouse),410
Arrdc3,Q7TPQ9,ARRD3_MOUSE,reviewed,Arrestin domain-containing protein 3,Arrdc3 Kiaa1376,Mus musculus (Mouse),414
Arrdc4,A0A0B4J1F4,ARRD4_MOUSE,reviewed,Arrestin domain-containing protein 4,Arrdc4,Mus musculus (Mouse),415
Asah1,Q9WV54,ASAH1_MOUSE,reviewed,Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta],Asah1 Asah,Mus musculus (Mouse),394
Asap1,Q9QWY8,ASAP1_MOUSE,reviewed,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)",Asap1 Ddef1 Kiaa1249 Shag1,Mus musculus (Mouse),1147
Asap2,Q7SIG6,ASAP2_MOUSE,reviewed,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)",Asap2 Ddef2 Gm1523 Gm592,Mus musculus (Mouse),958
Ascc2,Q91WR3,ASCC2_MOUSE,reviewed,Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100),Ascc2 Asc1p100,Mus musculus (Mouse),749
Ascc3,E9PZJ8,ASCC3_MOUSE,reviewed,Activating signal cointegrator 1 complex subunit 3 (EC 3.6.4.12),Ascc3,Mus musculus (Mouse),2198
Ash1l,Q99MY8,ASH1L_MOUSE,reviewed,Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.43) (ASH1-like protein) (Absent small and homeotic disks protein 1 homolog),Ash1l,Mus musculus (Mouse),2958
Aste1,Q8BIR2,ASTE1_MOUSE,reviewed,Protein asteroid homolog 1,Aste1,Mus musculus (Mouse),672
Asxl1,P59598,ASXL1_MOUSE,reviewed,Polycomb group protein ASXL1 (Additional sex combs-like protein 1),Asxl1 Kiaa0978,Mus musculus (Mouse),1514
Asxl2,Q8BZ32,ASXL2_MOUSE,reviewed,Putative Polycomb group protein ASXL2 (Additional sex combs-like protein 2),Asxl2 Kiaa1685,Mus musculus (Mouse),1370
Atad1,Q9D5T0,ATAD1_MOUSE,reviewed,ATPase family AAA domain-containing protein 1 (EC 3.6.1.3) (Thorase),Atad1,Mus musculus (Mouse),361
Atad3a,Q925I1,ATAD3_MOUSE,reviewed,ATPase family AAA domain-containing protein 3 (AAA-ATPase TOB3),Atad3 Atad3a Kiaa1273,Mus musculus (Mouse),591
Ate1,Q9Z2A5,ATE1_MOUSE,reviewed,Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1),Ate1,Mus musculus (Mouse),516
Atf2,P16951,ATF2_MOUSE,reviewed,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (EC 2.3.1.48) (Activating transcription factor 2) (MXBP protein) (cAMP response element-binding protein CRE-BP1),Atf2,Mus musculus (Mouse),487
Atf4,Q06507,ATF4_MOUSE,reviewed,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (C/EBP-related ATF) (C/ATF) (Tax-responsive enhancer element-binding protein 67 homolog) (TaxREB67 homolog),Atf4,Mus musculus (Mouse),349
Atf7ip,Q7TT18,MCAF1_MOUSE,reviewed,Activating transcription factor 7-interacting protein 1 (ATFa-associated modulator) (mAM) (MBD1-containing chromatin-associated factor 1),Atf7ip Mcaf1,Mus musculus (Mouse),1306
Atg101,Q9D8Z6,ATGA1_MOUSE,reviewed,Autophagy-related protein 101,Atg101,Mus musculus (Mouse),218
Atg12,Q9CQY1,ATG12_MOUSE,reviewed,Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like),Atg12 Apg12 Apg12l,Mus musculus (Mouse),141
Atg16l1,Q8C0J2,A16L1_MOUSE,reviewed,Autophagy-related protein 16-1 (APG16-like 1),Atg16l1 Apg16l,Mus musculus (Mouse),607
Atg2a,Q6P4T0,ATG2A_MOUSE,reviewed,Autophagy-related protein 2 homolog A,Atg2a Kiaa0404,Mus musculus (Mouse),1914
Atg2b,Q80XK6,ATG2B_MOUSE,reviewed,Autophagy-related protein 2 homolog B,Atg2b,Mus musculus (Mouse),2075
Atg4b,Q8BGE6,ATG4B_MOUSE,reviewed,Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagin-1) (Autophagy-related cysteine endopeptidase 1) (Autophagy-related protein 4 homolog B),Atg4b Apg4b Autl1 Kiaa0943,Mus musculus (Mouse),393
Atl2,Q6PA06,ATLA2_MOUSE,reviewed,Atlastin-2 (EC 3.6.5.-) (ADP-ribosylation factor-like protein 6-interacting protein 2) (ARL-6-interacting protein 2) (Aip-2),Atl2 Arl6ip2,Mus musculus (Mouse),583
Atl3,Q91YH5,ATLA3_MOUSE,reviewed,Atlastin-3 (EC 3.6.5.-),Atl3,Mus musculus (Mouse),541
Atm,Q62388,ATM_MOUSE,reviewed,Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated homolog) (A-T mutated homolog),Atm,Mus musculus (Mouse),3066
Atoh1,P48985,ATOH1_MOUSE,reviewed,Protein atonal homolog 1 (Helix-loop-helix protein mATH-1) (mATH1),Atoh1 Ath1,Mus musculus (Mouse),351
Atp12a,Q9Z1W8,AT12A_MOUSE,reviewed,Potassium-transporting ATPase alpha chain 2 (EC 7.2.2.19) (Non-gastric H(+)/K(+) ATPase subunit alpha) (Proton pump),Atp12a Atp1al1,Mus musculus (Mouse),1035
Atp13a2,Q9CTG6,AT132_MOUSE,reviewed,Cation-transporting ATPase 13A2 (EC 7.2.2.-),Atp13a2,Mus musculus (Mouse),1169
Atp13a3,Q5XF89,AT133_MOUSE,reviewed,Probable cation-transporting ATPase 13A3 (EC 7.2.2.-),Atp13a3 Gm542,Mus musculus (Mouse),1219
Atp1a1,Q8VDN2,AT1A1_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),Atp1a1,Mus musculus (Mouse),1023
Atp1b1,P14094,AT1B1_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),Atp1b1 Atp4b,Mus musculus (Mouse),304
Atp1b3,P97370,AT1B3_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298),Atp1b3,Mus musculus (Mouse),278
Atp2a2,O55143,AT2A2_MOUSE,reviewed,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",Atp2a2,Mus musculus (Mouse),1044
